bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,whale_on,whale_alignment,whale_thr,model_confidence_factor,atr,equity,peak_equity,max_drawdown_pct,pnl_total
200,200,BTCUSDT,5m,92839.33,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,166.67142857142815,1000.0,1000.0,0.0,0.0
201,201,BTCUSDT,5m,92859.98,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,162.76142857142779,1000.0,1000.0,0.0,0.0
202,202,BTCUSDT,5m,92916.79,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,145.83428571428522,1000.0,1000.0,0.0,0.0
203,203,BTCUSDT,5m,92814.56,hold,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,142.25999999999996,1000.0,1000.0,0.0,0.0
204,204,BTCUSDT,5m,92840.76,hold,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,145.0421428571426,1000.0,1000.0,0.0,0.0
205,205,BTCUSDT,5m,92811.09,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,142.92714285714257,1000.0,1000.0,0.0,0.0
206,206,BTCUSDT,5m,92800.08,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,144.3450000000001,1000.0,1000.0,0.0,0.0
207,207,BTCUSDT,5m,92715.61,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,148.2871428571421,1000.0,1000.0,0.0,0.0
208,208,BTCUSDT,5m,92765.65,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,141.05714285714203,1000.0,1000.0,0.0,0.0
209,209,BTCUSDT,5m,92905.2,hold,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,146.64499999999887,1000.0,1000.0,0.0,0.0
210,210,BTCUSDT,5m,92804.49,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,long,0.9385527946420505,True,aligned,0.5,1.0,155.24999999999895,1000.0,1000.0,0.0,0.0
211,211,BTCUSDT,5m,92976.66,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,161.79428571428434,1000.0,1000.0,0.0,0.0
212,212,BTCUSDT,5m,92904.68,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,154.24928571428504,1000.0,1000.0,0.0,0.0
213,213,BTCUSDT,5m,92908.07,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,151.39357142857105,1000.0,1000.0,0.0,0.0
214,214,BTCUSDT,5m,92934.49,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,145.22642857142742,1000.0,1000.0,0.0,0.0
215,215,BTCUSDT,5m,92880.0,hold,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,150.6185714285696,1000.0,1000.0,0.0,0.0
216,216,BTCUSDT,5m,92930.0,hold,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,150.88642857142673,1000.0,1000.0,0.0,0.0
217,217,BTCUSDT,5m,92892.36,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,143.8299999999976,1000.0,1000.0,0.0,0.0
218,218,BTCUSDT,5m,92969.93,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,135.69499999999763,1000.0,1000.0,0.0,0.0
219,219,BTCUSDT,5m,93154.28,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,148.62857142856956,1000.0,1000.0,0.0,0.0
220,220,BTCUSDT,5m,93178.46,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,146.4407142857121,1000.0,1000.0,0.0,0.0
221,221,BTCUSDT,5m,93086.45,hold,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,145.25499999999843,1000.0,1000.0,0.0,0.0
222,222,BTCUSDT,5m,93093.27,hold,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,144.05999999999872,1000.0,1000.0,0.0,0.0
223,223,BTCUSDT,5m,93135.18,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,138.08428571428416,1000.0,1000.0,0.0,0.0
224,224,BTCUSDT,5m,93209.99,hold,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,129.76357142856952,1000.0,1000.0,0.0,0.0
225,225,BTCUSDT,5m,93358.79,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,129.48142857142582,1000.2986385680261,1000.2986385680261,0.0,0.2986385680261492
226,226,BTCUSDT,5m,93214.08,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,0.9098479508936728,True,opposed,0.5,0.3,131.45428571428263,1000.2986385680261,1000.2986385680261,0.0,0.2986385680261492
227,227,BTCUSDT,5m,93120.2,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,140.8399999999965,1000.2986385680261,1000.2986385680261,0.0,0.2986385680261492
228,228,BTCUSDT,5m,92989.65,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,150.12285714285514,1000.2986385680261,1000.2986385680261,0.0,0.2986385680261492
229,229,BTCUSDT,5m,92944.72,hold,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,148.8407142857125,1000.2986385680261,1000.2986385680261,0.0,0.2986385680261492
230,230,BTCUSDT,5m,93018.42,hold,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,153.24428571428456,1000.2986385680261,1000.2986385680261,0.0,0.2986385680261492
231,231,BTCUSDT,5m,93034.58,hold,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,153.96571428571355,1000.2986385680261,1000.2986385680261,0.0,0.2986385680261492
