bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,whale_on,whale_alignment,whale_thr,model_confidence_factor,atr,equity,peak_equity,max_drawdown_pct,pnl_total
200,200,BTCUSDT,5m,92611.38,long,0.7267305791378021,0.7267305791378021,,,,,none,0.0,False,no_whale,0.5,1.0,281.46214285714296,1000.0,1000.0,0.0,0.0
201,201,BTCUSDT,5m,92732.48,long,0.7267305791378021,0.7267305791378021,,,,,short,0.5464199892635927,True,opposed,0.5,0.3,265.78071428571485,1000.0,1000.0,0.0,0.0
202,202,BTCUSDT,5m,92468.91,long,0.7267305791378021,0.7267305791378021,,,,,short,1.0,True,opposed,0.5,0.3,253.1949999999997,1000.0,1000.0,0.0,0.0
203,203,BTCUSDT,5m,92437.0,long,0.7267306089401245,0.7267306089401245,,,,,none,0.0,False,no_whale,0.5,1.0,252.46071428571304,1000.0,1000.0,0.0,0.0
204,204,BTCUSDT,5m,92242.24,long,0.7267306089401245,0.7267306089401245,,,,,none,0.0,False,no_whale,0.5,1.0,248.0007142857139,1000.0,1000.0,0.0,0.0
205,205,BTCUSDT,5m,92354.83,long,0.7267305791378021,0.7267305791378021,,,,,none,0.0,False,no_whale,0.5,1.0,248.53285714285656,1000.0,1000.0,0.0,0.0
206,206,BTCUSDT,5m,92337.39,long,0.7267305791378021,0.7267305791378021,,,,,long,0.7875426800803434,True,aligned,0.5,1.0,245.84142857142848,1000.0,1000.0,0.0,0.0
207,207,BTCUSDT,5m,92630.48,long,0.7267305791378021,0.7267305791378021,,,,,none,0.0,False,no_whale,0.5,1.0,248.24571428571446,1000.0,1000.0,0.0,0.0
208,208,BTCUSDT,5m,92260.57,long,0.7267305791378021,0.7267305791378021,,,,,none,0.0,False,no_whale,0.5,1.0,253.00285714285772,1000.0,1000.0,0.0,0.0
209,209,BTCUSDT,5m,92506.94,long,0.7267306089401245,0.7267306089401245,,,,,none,0.0,False,no_whale,0.5,1.0,261.9942857142866,1000.0,1000.0,0.0,0.0
